State,County,City
Nebraska,Buffalo,Kearney
Wyoming,Fremont,Riverton
Utah,Washington,Saint-George
Montana,Cascade,Great-Falls
Kansas,Wyandotte,Kansas-City
Texas,Travis,Austin
Idaho,Canyon,Nampa
New-Mexico,Santa-Fe,Santa-Fe
Montana,Yellowstone,Billings
Missouri,St.-Louis,Saint-Louis
Nebraska,Douglas,Omaha
Arkansas,Faulkner,Conway
Texas,Harris,Houston
Colorado,Jefferson,Denver
Illinois,Will,Joliet
Oklahoma,Cleveland,Norman
Colorado,Denver,Denver
Colorado,El-Paso,Colorado-Springs
Utah,Salt-Lake,Salt-Lake-City
Oklahoma,Tulsa,Tulsa
Arizona,Maricopa,Phoenix
Nebraska,Lancaster,Lincoln
Arizona,Pima,Tucson
Texas,Bexar,San-Antonio
Texas,Dallas,Dallas
California,Los-Angeles,Los-Angeles
Nevada,Clark,Las-Vegas
California,San-Diego,San-Diego
Guam,Guam,Barrigada
Oregon,Multnomah,Portland
Oregon,Marion,Salem
Washington,King,Seattle
Washington,Snohomish,Everett
Washington,Clark,Vancouver
Florida,Miami-Dade,Miami
Florida,Broward,Fort-Lauderdale
Florida,Hillsborough,Tampa
Alabama,Madison,Huntsville
Tennessee,Hamilton,Chattanooga
Tennessee,Shelby,Memphis
Mississippi,Rankin,Brandon
Mississippi,Harrison,Gulfport
Kentucky,Fayette,Lexington
Ohio,Franklin,Columbus
Ohio,Cuyahoga,Cleveland
Ohio,Summit,Akron
Ohio,Hamilton,Cincinnati
Ohio,Montgomery,Dayton
Indiana,St.-Joseph,South-Bend
Michigan,Wayne,Detroit
Iowa,Johnson,Iowa-City
Wisconsin,Dane,Madison
Minnesota,Hennepin,Minneapolis
South-Dakota,Brown,Aberdeen
North-Dakota,Grand-Forks,Grand-Forks
Vermont,Chittenden,Burlington
New-York,New-York,New-York
New-York,Bronx,Bronx
New-York,Kings,Brooklyn
Pennsylvania,Bucks,Levittown
Pennsylvania,Philadelphia,Philadelphia
West-Virginia,Kanawha,Charleston
West-Virginia,Cabell,Huntington
North-Carolina,Wake,Raleigh
North-Carolina,Cumberland,Fayetteville
South-Carolina,Richland,Columbia
South-Carolina,Greenville,Greenville
Georgia,Fulton,Atlanta
Georgia,DeKalb,Atlanta
Hawaii,Honolulu,Honolulu
Guam,Guam,Santa-Rita
Puerto-Rico,Ponce,Ponce
Puerto-Rico,Carolina,Carolina
Massachusetts,Suffolk,Boston
Massachusetts,Norfolk,Quincy
Connecticut,New-London,Norwich
Connecticut,New-Haven,New-Haven
New-Jersey,Hudson,Jersey-City
District-of-Columbia,District-of-Columbia,Washington
Maryland,Baltimore,Baltimore
Maryland,Anne-Arundel,Annapolis
West-Virginia,Monongalia,Morgantown
North-Carolina,Forsyth,Winston-Salem
North-Carolina,Guilford,Greensboro
North-Carolina,Mecklenburg,Charlotte
Georgia,Chatham,Savannah
Florida,Orange,Orlando
Alabama,Jefferson,Birmingham
Tennessee,Rutherford,Murfreesboro
Tennessee,Davidson,Nashville
Tennessee,Knox,Knoxville
Mississippi,Hinds,Jackson
Kentucky,Jefferson,Louisville
Kentucky,Warren,Bowling-Green
Indiana,Marion,Indianapolis
Wisconsin,Racine,Racine
Minnesota,Ramsey,Saint-Paul
Minnesota,Dakota,Saint-Paul
Illinois,Lake,Waukegan
Illinois,DuPage,Naperville
Illinois,Cook,Chicago
Missouri,Jackson,Kansas-City
Kansas,Shawnee,Topeka
Louisiana,Caddo,Shreveport
Oklahoma,Oklahoma,Oklahoma-City
Oklahoma,Comanche,Lawton
Texas,Tarrant,Fort-Worth
Wyoming,Laramie,Cheyenne
New-Mexico,Bernalillo,Albuquerque
Nevada,Carson-City,Carson-City
Alaska,Fairbanks-North-Star,Fairbanks
Missouri,Clay,Kansas-City
Kansas,Johnson,Overland-Park
Kansas,Sedgwick,Wichita
Louisiana,Orleans,New-Orleans
Louisiana,East-Baton-Rouge,Baton-Rouge
Idaho,Kootenai,Coeur-D-Alene
Utah,Weber,Ogden
Nevada,Washoe,Reno
California,Riverside,Riverside
Oregon,Washington,Beaverton
Virginia,Virginia-Beach,Virginia-Beach
Georgia,Cobb,Marietta
Washington,Pierce,Tacoma
Washington,Spokane,Spokane
Alaska,Juneau,Juneau
Virgin-Islands,St.-Croix,Kingshill
Puerto-Rico,San-Juan,San-Juan
Massachusetts,Worcester,Worcester
Massachusetts,Essex,Lynn
Rhode-Island,Providence,Providence
New-Hampshire,Hillsborough,Manchester
Maine,Cumberland,Portland
Maine,Kennebec,Waterville
Connecticut,Hartford,Hartford
New-York,Suffolk,Bay-Shore
Pennsylvania,Allegheny,Pittsburgh
Delaware,New-Castle,Wilmington
Florida,Palm-Beach,West-Palm-Beach
Alabama,Montgomery,Montgomery
Alabama,Mobile,Mobile
Indiana,Allen,Fort-Wayne
Michigan,Genesee,Flint
Iowa,Scott,Davenport
Wisconsin,Milwaukee,Milwaukee
South-Dakota,Minnehaha,Sioux-Falls
South-Dakota,Pennington,Rapid-City
North-Dakota,Cass,Fargo
Iowa,Polk,Des-Moines
Minnesota,Anoka,Minneapolis
Guam,Guam,Merizo
Northern-Mariana-Islands,Tinian,Tinian
Virginia,Fairfax,Alexandria
Missouri,St.-Charles,Saint-Charles
Missouri,Greene,Springfield
Nebraska,Sarpy,Bellevue
Arkansas,Benton,Rogers
Wyoming,Sweetwater,Rock-Springs
Puerto-Rico,Caguas,Caguas
Puerto-Rico,Bayamón,Bayamon
New-Jersey,Essex,Newark
Delaware,Kent,Dover
Maryland,Howard,Columbia
Mississippi,Jackson,Ocean-Springs
Wisconsin,Brown,Green-Bay
North-Dakota,Ward,Minot
Maine,York,Biddeford
New-York,Queens,Jamaica
Maryland,Prince-George's,Hyattsville
South-Carolina,Charleston,Charleston
South-Carolina,Horry,Myrtle-Beach
Georgia,Gwinnett,Lawrenceville
Colorado,Arapahoe,Aurora
Idaho,Ada,Boise
Utah,Utah,Provo
Arizona,Pinal,San-Tan-Valley
Nevada,Elko,Elko
Rhode-Island,Bristol,Bristol
Delaware,Sussex,Millsboro
Maryland,Montgomery,Silver-Spring
Virginia,Henrico,Henrico
West-Virginia,Berkeley,Martinsburg
Arkansas,Washington,Fayetteville
Wyoming,Natrona,Casper
Alaska,Anchorage,Anchorage
Alaska,Matanuska-Susitna,Wasilla
Virgin-Islands,St.-Croix,Christiansted
Maine,Androscoggin,Lewiston
Arkansas,Pulaski,Little-Rock
California,Orange,Anaheim
Guam,Guam,Inarajan
Oregon,Lane,Eugene
Mississippi,DeSoto,Olive-Branch
Michigan,Oakland,Rochester
Minnesota,Washington,Saint-Paul
South-Dakota,Brookings,Brookings
Indiana,Hamilton,Carmel
Michigan,Kent,Grand-Rapids
Montana,Gallatin,Bozeman
Montana,Missoula,Missoula
Louisiana,Jefferson,Metairie
Rhode-Island,Newport,Newport
Connecticut,Fairfield,Bridgeport
South-Carolina,Spartanburg,Spartanburg
Oregon,Clackamas,Portland
Iowa,Linn,Cedar-Rapids
Nebraska,Hall,Grand-Island
Oklahoma,Canadian,Yukon
Idaho,Bonneville,Idaho-Falls
Utah,Davis,Layton
New-Mexico,Doña-Ana,Las-Cruces
California,San-Bernardino,San-Bernardino
Virgin-Islands,St.-Thomas,St-Thomas
Rhode-Island,Kent,Warwick
New-Jersey,Middlesex,Edison
West-Virginia,Wood,Parkersburg
New-Jersey,Monmouth,Freehold
Illinois,Kane,Aurora
Kansas,Douglas,Lawrence
Idaho,Bannock,Pocatello
New-Mexico,Sandoval,Rio-Rancho
Northern-Mariana-Islands,Saipan,Saipan
Virgin-Islands,St.-Croix,Frederiksted
Arkansas,Sebastian,Fort-Smith
Louisiana,St.-Tammany,Slidell
Colorado,Adams,Denver
Kentucky,Boone,Florence
Virgin-Islands,St.-John,St-John
Massachusetts,Middlesex,Cambridge
Virginia,Loudoun,Ashburn
Iowa,Black-Hawk,Waterloo
Wisconsin,Waukesha,Waukesha
Wyoming,Campbell,Gillette
Arizona,Yuma,Yuma
American-Samoa,Western,Pago-Pago
North-Dakota,Burleigh,Bismarck
Arizona,Yavapai,Prescott
New-Hampshire,Grafton,Hanover
Indiana,Lake,Gary
Hawaii,Kauai,Kapaa
New-Hampshire,Merrimack,Concord
South-Dakota,Lincoln,Sioux-Falls
New-Hampshire,Rockingham,Derry
Vermont,Windsor,White-River-Junction
Vermont,Washington,Barre
Connecticut,Litchfield,Torrington
Nevada,Lyon,Fernley
Guam,Guam,Hagatna
Rhode-Island,Washington,North-Kingstown
New-Hampshire,Strafford,Dover
Michigan,Macomb,Warren
North-Dakota,Williams,Williston
Alaska,Kenai-Peninsula,Soldotna
Kentucky,Kenton,Ft-Mitchell
Maine,Penobscot,Bangor
Pennsylvania,Delaware,Upper-Darby
Northern-Mariana-Islands,Rota,Rota
Hawaii,Kalawao,Kalaupapa
Guam,Guam,Agat
Pennsylvania,Montgomery,Norristown
Virginia,Prince-William,Woodbridge
Alabama,Baldwin,Daphne
New-Mexico,San-Juan,Farmington
Hawaii,Hawaii,Hilo
Hawaii,Maui,Wailuku
Guam,Guam,Yigo
Montana,Flathead,Kalispell
Vermont,Rutland,Rutland
Vermont,Franklin,Saint-Albans
New-Jersey,Bergen,Hackensack
Arkansas,Washington,Springdale
Louisiana,St.-Tammany,Covington
Illinois,Kane,Elgin
Nevada,Clark,Henderson
