State,County
Montana,Yellowstone
Illinois,Cook
Missouri,St.-Louis
Kansas,Johnson
Nebraska,Douglas
Oklahoma,Oklahoma
Texas,Harris
Colorado,El-Paso
Utah,Salt-Lake
Arizona,Maricopa
Nevada,Clark
California,Los-Angeles
Guam,Guam
Oregon,Multnomah
Washington,King
Maryland,Baltimore
Florida,Miami-Dade
Tennessee,Shelby
Ohio,Franklin
Michigan,Wayne
Iowa,Polk
Wisconsin,Milwaukee
Minnesota,Hennepin
South-Dakota,Minnehaha
North-Dakota,Cass
Massachusetts,Middlesex
Rhode-Island,Providence
New-Hampshire,Hillsborough
Vermont,Chittenden
Connecticut,Fairfield
New-Jersey,Bergen
New-York,Kings
Pennsylvania,Philadelphia
Delaware,New-Castle
West-Virginia,Kanawha
North-Carolina,Wake
South-Carolina,Greenville
Georgia,Fulton
Hawaii,Honolulu
Maine,Cumberland
District-of-Columbia,District-of-Columbia
Virginia,Fairfax
Alabama,Jefferson
Mississippi,Hinds
Kentucky,Jefferson
Indiana,Marion
Wyoming,Laramie
New-Mexico,Bernalillo
Louisiana,East-Baton-Rouge
Virgin-Islands,St.-Croix
Puerto-Rico,San-Juan
Northern-Mariana-Islands,Tinian
Idaho,Ada
Arkansas,Pulaski
Alaska,Anchorage
Virgin-Islands,St.-Thomas
Northern-Mariana-Islands,Saipan
Virgin-Islands,St.-John
American-Samoa,Western
Northern-Mariana-Islands,Rota
Kansas,Sedgwick
Nebraska,Lancaster
Louisiana,Jefferson
Oklahoma,Tulsa
Texas,Dallas
Colorado,Denver
Idaho,Canyon
Arizona,Pima
California,San-Diego
Hawaii,Hawaii
Oregon,Washington
Washington,Pierce
Alaska,Matanuska-Susitna
Florida,Broward
Alabama,Mobile
Tennessee,Davidson
Mississippi,Harrison
Kentucky,Fayette
Ohio,Cuyahoga
Michigan,Oakland
Wisconsin,Dane
South-Dakota,Pennington
North-Dakota,Burleigh
Massachusetts,Worcester
New-Hampshire,Rockingham
Maine,York
Vermont,Rutland
Connecticut,Hartford
New-Jersey,Middlesex
New-York,Queens
Pennsylvania,Allegheny
Maryland,Montgomery
South-Carolina,Richland
Georgia,Gwinnett
Virginia,Prince-William
North-Carolina,Mecklenburg
Indiana,Lake
Iowa,Linn
Minnesota,Ramsey
Illinois,DuPage
Missouri,Jackson
Arkansas,Benton
Nevada,Washoe
Utah,Utah
New-Mexico,Doña-Ana
West-Virginia,Berkeley
Delaware,Sussex
Wyoming,Natrona
Puerto-Rico,Bayamón
Rhode-Island,Kent
Montana,Missoula
Illinois,Lake
Arkansas,Washington
Oklahoma,Cleveland
Texas,Tarrant
Colorado,Arapahoe
Wyoming,Campbell
Utah,Davis
Arizona,Pinal
New-Mexico,Santa-Fe
California,Orange
Washington,Snohomish
Florida,Palm-Beach
Alabama,Madison
Ohio,Hamilton
Michigan,Macomb
Minnesota,Dakota
North-Dakota,Grand-Forks
Massachusetts,Suffolk
New-Hampshire,Merrimack
Maine,Penobscot
Connecticut,New-Haven
New-York,New-York
Pennsylvania,Montgomery
South-Carolina,Charleston
Georgia,DeKalb
Puerto-Rico,Carolina
Rhode-Island,Washington
New-Jersey,Essex
Delaware,Kent
West-Virginia,Monongalia
North-Carolina,Guilford
Tennessee,Knox
Wisconsin,Waukesha
Montana,Gallatin
Missouri,St.-Charles
Kansas,Shawnee
Nevada,Carson-City
Alaska,Fairbanks-North-Star
Louisiana,Orleans
Idaho,Kootenai
Virginia,Virginia-Beach
Vermont,Washington
Maryland,Prince-George's
Indiana,Allen
Iowa,Scott
South-Dakota,Lincoln
Hawaii,Maui
Oregon,Clackamas
Nebraska,Sarpy
Mississippi,DeSoto
Kentucky,Kenton
Illinois,Will
Kansas,Wyandotte
Louisiana,St.-Tammany
Texas,Bexar
Colorado,Jefferson
Wyoming,Sweetwater
Arizona,Yavapai
Oregon,Lane
Maryland,Anne-Arundel
Florida,Hillsborough
Tennessee,Hamilton
Mississippi,Rankin
Ohio,Montgomery
Indiana,Hamilton
Michigan,Kent
Iowa,Johnson
South-Dakota,Brown
North-Dakota,Ward
Massachusetts,Essex
Maine,Kennebec
Connecticut,New-London
New-York,Suffolk
Pennsylvania,Bucks
West-Virginia,Cabell
North-Carolina,Forsyth
Puerto-Rico,Ponce
Rhode-Island,Newport
New-Hampshire,Strafford
New-Jersey,Hudson
Kentucky,Warren
Oklahoma,Canadian
Idaho,Bonneville
Utah,Weber
New-Mexico,Sandoval
Washington,Spokane
Alaska,Kenai-Peninsula
Montana,Flathead
California,Riverside
Georgia,Cobb
Vermont,Windsor
Virginia,Loudoun
Alabama,Montgomery
Minnesota,Anoka
Missouri,Greene
Nevada,Elko
South-Carolina,Horry
Wisconsin,Brown
Hawaii,Kauai
Nebraska,Hall
Arkansas,Sebastian
Montana,Cascade
Illinois,Kane
Kansas,Douglas
Nebraska,Buffalo
Arkansas,Faulkner
Texas,Travis
Wyoming,Fremont
Idaho,Bannock
Utah,Washington
New-Mexico,San-Juan
California,San-Bernardino
Oregon,Marion
Washington,Clark
Florida,Orange
Tennessee,Rutherford
Ohio,Summit
Indiana,St.-Joseph
Michigan,Genesee
Massachusetts,Norfolk
New-Hampshire,Grafton
Maine,Androscoggin
New-Jersey,Monmouth
New-York,Bronx
Pennsylvania,Delaware
North-Carolina,Cumberland
South-Carolina,Spartanburg
Vermont,Franklin
Connecticut,Litchfield
Georgia,Chatham
Alabama,Baldwin
Kentucky,Boone
Iowa,Black-Hawk
Wisconsin,Racine
Minnesota,Washington
Missouri,Clay
Louisiana,Caddo
Oklahoma,Comanche
Alaska,Juneau
Mississippi,Jackson
Colorado,Adams
Puerto-Rico,Caguas
Maryland,Howard
Virginia,Henrico
Rhode-Island,Bristol
West-Virginia,Wood
South-Dakota,Brookings
Nevada,Lyon
North-Dakota,Williams
Arizona,Yuma
Hawaii,Kalawao
